Morocco	33.179	38.859	39.46	42.238	52.064	59.626	62.343	68.641	79.041	92.507	92.897	93.217	101.371	98.266	107.235	110.009	103.075	109.912
Mozambique	26.491	4.667	4.567	4.977	5.549	6.749	7.595	8.304	9.291	11.084	11.052	10.468	13.245	14.867	15.622	16.684	16.985	19.043
Myanmar	51.419	10.277	7.475	7.821	12.079	12.195	13.833	16.736	23.291	34.55	38.065	49.628	56.002	55.609	56.699	63.135	65.775	71.275
Namibia	2.203	3.911	3.55	3.369	4.932	6.617	7.258	7.978	8.741	8.486	8.876	11.283	12.426	13.002	12.938	13.632	12.855	13.703
Nepal	28.109	5.731	5.891	5.976	6.328	7.274	8.18	9.044	10.325	12.545	12.855	16.002	19.011	18.852	19.27	19.761	21.356	24.067
Netherlands	16.864	414.018	426.94	467.016	572.958	651.416	679.695	727.287	840.583	940.665	860.108	837.949	894.576	829.406	864.439	880.716	750.782	782.934
New Zealand	4.555	54.077	53.083	62.052	82.541	101.657	113.562	109.67	134.422	134.198	120.598	144.165	164.926	173.196	184.761	197.502	170.59	165.476
Nicaragua	6.198	5.109	5.335	5.224	5.322	5.793	6.321	6.786	7.458	8.491	8.379	8.741	9.756	10.46	10.851	11.806	12.321	13.089
Niger	17.116	1.671	1.815	2.073	2.645	2.901	3.375	3.65	4.29	5.429	5.411	5.729	6.418	7.011	7.497	8.024	7.119	7.652
Nigeria	173.938	61.309	59.629	81.593	95.358	126.383	164.774	217.736	257.471	325.443	270.471	373.839	418.834	467.119	521.812	573.999	492.986	484.895
Norway	5.156	171.333	174.017	195.423	227.62	264.199	308.679	345.393	400.886	461.946	386.382	428.527	498.157	509.705	522.349	499.817	397.59	394.776
Oman	3.717	18.91	18.815	19.459	20.896	23.932	30.171	36.142	40.765	59.251	46.714	56.827	67.706	75.433	77.001	77.779	60.179	60.632
Pakistan	186.19	73.987	72.928	72.145	83.048	97.967	110.1	137.266	152.46	171.195	169.745	177.622	213.626	225.06	231.617	246.849	270.961	n/a
Palau	0.018	0.149	0.16	0.163	0.16	0.175	0.194	0.195	0.196	0.197	0.186	0.184	0.201	0.216	0.228	0.249	0.261	0.273
Panama	3.928	11.621	11.808	12.272	12.933	14.179	15.465	17.137	19.794	23.002	24.163	27.053	31.32	35.938	40.389	43.777	47.473	51.525
Papua New Guinea	7.53	3.499	3.068	3.048	3.716	4.177	4.866	5.528	6.341	8	8.105	9.716	12.873	15.391	15.413	16.809	17.995	18.191
Paraguay	6.901	8.196	7.663	6.325	6.588	8.003	8.74	10.646	13.795	18.503	15.934	20.674	23.343	24.937	28.334	30.22	29.065	30.094
Peru	31.424	51.005	51.613	54.451	59.045	66.71	74.97	87.887	102.187	121.61	121.229	148.562	170.595	192.733	201.879	202.642	179.911	180.375
Philippines	99.434	81.023	76.262	81.358	83.908	91.371	103.074	122.211	149.36	173.603	168.485	199.591	224.143	250.092	271.928	284.618	299.314	330.232
Poland	38.018	171.276	190.43	198.679	217.514	253.709	304.43	343.252	429.152	530.023	436.809	476.524	524.105	496.693	526.239	547.894	481.235	508.857
Portugal	10.394	118.706	121.65	134.704	165.28	189.444	197.642	208.75	240.502	263.249	244.364	238.748	245.119	216.488	224.983	229.948	197.51	204.186
Qatar	2.235	17.76	17.538	19.364	23.534	31.734	44.53	60.882	79.712	115.27	97.798	125.122	169.805	190.29	201.885	210.109	192.077	192.214
Romania	19.947	37.467	40.717	46.17	59.868	76.217	100.324	123.534	171.679	209.664	168.036	167.986	186.113	172.041	191.598	199.093	174.922	183.37
Russia	146.3	259.702	306.583	345.126	430.29	591.176	763.703	989.932	1299.703	1660.846	1222.646	1524.917	1904.791	2016.11	2079.022	1860.598	1235.858	1178.924
Rwanda	11.096	1.718	1.675	1.669	1.835	2.091	2.584	3.111	3.776	4.799	5.309	5.698	6.406	7.223	7.522	7.897	8.468	9.228
Samoa	0.192	0.257	0.269	0.297	0.364	0.429	0.49	0.513	0.585	0.641	0.608	0.653	0.762	0.806	0.794	0.827	0.867	0.9
San Marino	0.031	n/a	n/a	n/a	n/a	1.88	1.962	2.095	2.491	2.765	2.369	2.143	2.056	1.802	1.802	1.786	1.543	1.578
São Tomé and Príncipe	0.198	0.058	0.051	0.055	0.098	0.108	0.13	0.14	0.148	0.194	0.2	0.209	0.254	0.26	0.303	0.338	0.326	0.356
Saudi Arabia	30.77	189.515	184.138	189.606	215.808	258.742	328.206	376.398	415.687	519.797	429.098	526.811	669.507	733.956	744.336	746.248	632.073	643.234
Senegal	14.54	4.693	4.882	5.352	6.872	8.042	8.722	9.367	11.301	13.449	12.846	12.937	14.388	14.236	14.956	15.683	13.988	15.197
Serbia	7.164	9.312	12.313	16.177	21.219	24.743	26.075	30.721	40.499	49.165	42.611	39.035	46.488	40.734	45.52	43.866	36.555	37.74
Seychelles	0.094	0.615	0.622	0.698	0.706	0.839	0.919	1.016	1.034	0.967	0.847	0.97	1.066	1.134	1.411	1.423	1.375	1.471
Sierra Leone	6.232	0.941	1.084	1.25	1.38	1.439	1.649	1.884	2.159	2.511	2.454	2.578	2.932	3.789	4.914	4.815	4.266	4.563
Singapore	5.47	95.837	89.288	91.942	97.003	114.184	127.42	147.795	179.981	192.231	192.406	236.42	275.37	289.941	302.246	307.872	293.959	308.716
Slovak Republic	5.417	20.687	21.384	24.898	34.081	43.188	49.031	57.283	76.86	96.554	88.859	89.18	97.62	92.844	97.743	99.869	86.198	90.544
Slovenia	2.061	20.446	20.9	23.603	29.738	34.504	36.401	39.621	48.167	55.853	50.372	48.103	51.338	46.266	47.691	49.57	42.736	44.015
Solomon Islands	0.575	0.381	0.38	0.324	0.314	0.363	0.429	0.471	0.516	0.608	0.598	0.672	0.887	1.025	1.06	1.155	1.205	1.289
South Africa	54.002	136.453	121.602	115.748	175.254	228.931	257.667	271.812	299.033	287.095	297.221	375.304	417.057	397.391	366.236	350.082	317.285	326.541
South Sudan	11.384	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	17.195	11.267	15.34	14.304	12.882	13.825
Spain	46.464	597.149	626.514	707.642	908.588	1071.007	1159.257	1265.661	1481.393	1642.738	1502.876	1434.257	1495.968	1356.483	1393.476	1406.538	1221.387	1265.122
Sri Lanka	20.964	16.926	16.261	17.113	18.892	20.67	24.418	28.274	32.367	40.72	42.04	49.552	59.157	59.378	67.451	74.924	79.524	86.302
